"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
0.000000000E0;3.960009575E0;-1.881842494E0;7.469909191E0;8.661555884E0
1.533147200E-2;3.993528366E0;-1.915361404E0;7.474697590E0;8.688382023E0
3.116222200E-2;3.993528366E0;-1.891419291E0;7.196970463E0;8.445242423E0
4.394809700E-2;3.926490784E0;-2.054224968E0;6.598419666E0;7.948352797E0
5.545653400E-2;4.908113480E0;-3.002328873E0;5.937620163E0;8.267943504E0
6.636525300E-2;3.007117271E0;-1.924938202E0;6.512228489E0;7.426793471E0
7.655611200E-2;3.208230257E0;-2.619256735E0;6.746860504E0;7.916651684E0
8.678754200E-2;3.241749048E0;-2.633621931E0;6.900089264E0;8.065738231E0
9.703575700E-2;2.782062292E0;-2.365471363E0;6.593631268E0;7.537327023E0
1.071943640E-1;2.403778553E0;-2.609679937E0;6.507440090E0;7.411838991E0
1.171841680E-1;1.843535304E0;-2.815581083E0;6.315904140E0;7.156588878E0
1.271595700E-1;1.441309452E0;-3.122039080E0;6.191405773E0;7.082231739E0
1.371307710E-1;2.106897593E0;-3.083731890E0;5.549759388E0;6.689413210E0
1.469703710E-1;2.293645144E0;-3.117250681E0;5.406107426E0;6.648613190E0
1.569036710E-1;2.480392933E0;-3.193865061E0;5.382165432E0;6.732074559E0
1.669143210E-1;2.370259762E0;-2.992752075E0;5.171475887E0;6.427974734E0
1.768616460E-1;4.017470360E0;-3.481169224E0;5.200206280E0;7.436447580E0
1.870508090E-1;4.774038315E0;-3.648763418E0;5.267243862E0;7.990542799E0
1.968618900E-1;4.223371983E0;-3.677493811E0;6.124367714E0;8.298717463E0
2.068734310E-1;3.821146011E0;-3.940855980E0;6.507440090E0;8.513417599E0
2.168162010E-1;4.194641590E0;-3.854664803E0;6.679822922E0;8.779151045E0
2.267680860E-1;5.492298603E0;-3.682282209E0;6.641515732E0;9.371994314E0
2.368020290E-1;6.234501362E0;-3.591302633E0;7.144298077E0;1.013940121E1
2.470055000E-1;5.540182590E0;-4.639962673E0;8.791508675E0;1.138039988E1
2.569087360E-1;4.209006786E0;-4.659116745E0;9.605537415E0;1.147560264E1
2.669828540E-1;4.553771496E0;-4.955997467E0;9.528923035E0;1.166615275E1
2.768749130E-1;5.645527840E0;-4.783615112E0;8.757989883E0;1.146548494E1
2.868399420E-1;7.331045628E0;-3.902548790E0;7.273584843E0;1.103988920E1
2.969249570E-1;7.240066051E0;-4.836287498E0;7.589619160E0;1.155034857E1
3.068844640E-1;6.943184853E0;-4.826710701E0;7.163451672E0;1.108241814E1
3.170187180E-1;7.134721279E0;-4.797980309E0;6.785167694E0;1.095277880E1
3.269153450E-1;7.402871609E0;-4.826710701E0;6.732495308E0;1.110973165E1
3.368661580E-1;7.661445618E0;-4.855441093E0;6.459556103E0;1.113548033E1
3.469410650E-1;7.900865555E0;-4.917690277E0;6.445190907E0;1.132024028E1
3.568385180E-1;8.398859978E0;-4.903325081E0;6.488286495E0;1.169107811E1
3.668767450E-1;8.916007042E0;-4.898536682E0;6.459556103E0;1.205058954E1
3.769118580E-1;8.681375504E0;-5.128379822E0;6.502651691E0;1.199795980E1
3.869854150E-1;8.135497093E0;-5.382165432E0;6.440402508E0;1.168900347E1
3.969466930E-1;7.862558365E0;-5.425261021E0;6.253654957E0;1.141759526E1
4.068843320E-1;7.819462776E0;-5.501875401E0;6.028599739E0;1.130303702E1
4.169886520E-1;8.576030731E0;-5.453991413E0;5.166687489E0;1.140127120E1
4.270778120E-1;8.935160637E0;-5.233725071E0;4.496310711E0;1.128918880E1
4.369963920E-1;9.476250648E0;-5.128379822E0;3.811569214E0;1.142924607E1
4.470296820E-1;9.557653427E0;-5.032611847E0;2.604891539E0;1.111131770E1
4.569218270E-1;9.361329079E0;-4.778826714E0;2.916137695E0;1.090759029E1
4.668813990E-1;9.442731857E0;-4.912901878E0;3.308786631E0;1.114674207E1
4.768191850E-1;1.043871975E1;-4.955997467E0;3.754108191E0;1.214998392E1
4.867620780E-1;9.232041359E0;-4.917690277E0;3.524264812E0;1.103787605E1
4.967245250E-1;8.552088737E0;-4.908113480E0;4.611232281E0;1.088536921E1
5.066907480E-1;8.274360657E0;-5.372588634E0;5.798756599E0;1.144357160E1
5.168718600E-1;8.164227486E0;-5.200206280E0;6.014234543E0;1.139595423E1
5.268969160E-1;7.857769966E0;-4.965574265E0;4.912901878E0;1.051370922E1
5.368269440E-1;7.958326340E0;-5.319916248E0;4.539406300E0;1.059446443E1
5.468034580E-1;8.753201485E0;-5.137956619E0;4.960785866E0;1.129719128E1
5.568272150E-1;8.149862289E0;-4.865017891E0;5.487510204E0;1.096364094E1
5.669120930E-1;8.346187592E0;-4.625597477E0;5.492298603E0;1.101001105E1
5.768070320E-1;7.800309181E0;-4.323928356E0;5.645527840E0;1.055524345E1
5.868525020E-1;7.560888767E0;-4.295197964E0;5.990292549E0;1.055932618E1
5.968072370E-1;7.120356083E0;-4.161122322E0;5.453991413E0;9.887387525E0
6.068301040E-1;7.005434036E0;-3.792415380E0;5.123591423E0;9.471520972E0
6.167715380E-1;6.809109688E0;-3.706224203E0;4.975151062E0;9.211525426E0
6.267752550E-1;6.569689274E0;-3.830722809E0;5.176264286E0;9.199400326E0
6.367646130E-1;6.105214119E0;-3.888183594E0;5.363011837E0;9.008524133E0
6.468192920E-1;5.784391403E0;-3.811569214E0;5.410895824E0;8.790053322E0
6.567901320E-1;5.894524574E0;-3.945644379E0;3.605667830E0;7.957032739E0
6.670210520E-1;4.788403511E0;-3.380612850E0;-2.489969730E-1;5.866800740E0
6.770175120E-1;3.988739967E0;-3.347094059E0;1.675941199E-1;5.209719086E0
6.870382420E-1;4.869806290E0;-4.132391930E0;3.758896589E0;7.410869040E0
6.968571070E-1;5.612008572E0;-4.094084740E0;4.802768707E0;8.445280180E0
7.068065390E-1;6.718130112E0;-4.007893562E0;5.013458252E0;9.291460953E0
7.170242550E-1;7.105990410E0;-4.213795185E0;3.442862034E0;8.950109974E0
7.269871130E-1;7.378929615E0;-4.481945515E0;2.159569979E0;8.899448317E0
7.369345420E-1;7.565677166E0;-4.410119534E0;1.690306425E0;8.918843035E0
7.468557570E-1;7.503427982E0;-4.367023945E0;1.326387763E0;8.782461735E0
7.568403640E-1;6.818686485E0;-4.410119534E0;1.412579060E0;8.242512923E0
7.668241680E-1;6.469132900E0;-4.501099110E0;1.910573006E0;8.109245519E0
7.768035700E-1;4.903325081E0;-4.410119534E0;1.810016513E0;6.838706817E0
7.868327710E-1;6.947973251E0;-5.813121796E0;2.106897533E-1;9.061517946E0
7.969208710E-1;7.058106422E0;-5.549759388E0;9.864110947E-1;9.032701832E0
8.067874210E-1;3.663128614E0;-4.496310711E0;2.849100113E0;6.461632356E0
8.167941960E-1;9.222464561E0;-6.655880928E0;3.596091032E0;1.192838942E1
8.267440840E-1;5.683835030E0;-5.200206280E0;1.671152830E0;7.882948546E0
8.367455280E-1;5.032611847E0;-5.372588634E0;1.264138460E0;7.469266141E0
8.467222500E-1;8.063671112E0;-6.244078159E0;5.348646641E0;1.151604640E1
8.568276110E-1;4.223371983E0;-5.396530628E0;4.908113480E0;8.429056392E0
8.670117910E-1;7.757213712E-1;-4.616020679E0;8.762778282E0;9.934569632E0
8.769958810E-1;5.741295815E0;-6.220136166E0;7.445967197E0;1.127364178E1
8.868634260E-1;1.127668953E1;-5.760449409E0;1.388636976E-1;1.266356140E1
8.967826990E-1;1.179862595E1;-4.644751072E0;-2.049436569E0;1.284451155E1
9.068098350E-1;1.086488724E1;-4.501099110E0;-1.915361285E-1;1.176190265E1
9.167299030E-1;9.739612579E0;-4.299986362E0;2.059013367E0;1.084386794E1
9.267444370E-1;8.571242332E0;-4.443638325E0;2.916137695E0;1.008543384E1
9.368252040E-1;8.508993149E0;-3.936067581E0;1.010353088E0;9.429549606E0
9.469115880E-1;8.221688271E0;-4.007893562E0;6.943184733E-1;9.172864709E0
9.568127800E-1;8.058882713E0;-4.812345505E0;-7.086837292E-1;9.413102170E0
9.667663760E-1;8.106766701E0;-5.252878666E0;-8.379706144E-1;9.696112384E0
9.768606740E-1;7.086836815E0;-3.888183594E0;-1.249773264E0;8.179435244E0
9.868503230E-1;7.441178799E0;-5.669469833E0;1.685518026E0;9.505524768E0
9.967831470E-1;7.105990410E0;-6.062118530E0;1.479616642E0;9.456936406E0
1.006731059E0;6.833051682E0;-5.329493046E0;-9.576807022E-1;8.718442736E0
