"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
0.000000000E0;3.083731890E0;-3.241749048E0;7.240066051E0;8.510986764E0
6.857913000E-3;3.409343243E0;-3.390189648E0;6.718130112E0;8.261372730E0
2.258203800E-2;3.864241600E0;-3.256114244E0;5.951985359E0;7.807738010E0
3.564060000E-2;2.643198729E0;-3.002328873E0;6.253654957E0;7.423521974E0
4.719588100E-2;2.844311714E0;-3.414131641E0;6.579266071E0;7.939341662E0
5.772252200E-2;2.518700123E0;-3.342305660E0;6.952761650E0;8.115155698E0
6.809634200E-2;2.533065319E0;-3.256114244E0;6.756437302E0;7.916321424E0
7.836875200E-2;2.633621931E0;-3.217807055E0;6.550535679E0;7.758850714E0
8.834545700E-2;2.973598480E0;-3.064578056E0;6.339846134E0;7.643793272E0
9.855231000E-2;3.112462282E0;-3.107673883E0;6.531382084E0;7.874262527E0
1.084457360E-1;3.213018656E0;-3.169923067E0;7.067683220E0;8.385943431E0
1.183619490E-1;3.098097086E0;-3.447650433E0;7.599195957E0;8.901251499E0
1.285080560E-1;2.600103140E0;-3.600879431E0;7.747636795E0;8.930439234E0
1.384001090E-1;2.619256735E0;-3.672705412E0;7.580042362E0;8.820788689E0
1.486541360E-1;3.222595453E0;-3.653551817E0;7.522581577E0;8.962298585E0
1.585741490E-1;3.778050184E0;-3.801992416E0;7.857769966E0;9.511748439E0
1.686576560E-1;5.559336185E0;-3.572149038E0;8.078036308E0;1.043652903E1
1.785239090E-1;5.578489780E0;-3.663128614E0;8.772355080E0;1.102235334E1
1.885560360E-1;4.137180328E0;-3.773261786E0;9.136273384E0;1.071565476E1
1.984120990E-1;4.630385876E0;-3.806780815E0;8.485051155E0;1.038884722E1
2.083956310E-1;5.401319027E0;-3.576937437E0;8.207323074E0;1.045604518E1
2.185698970E-1;4.764461517E0;-3.806780815E0;7.824251175E0;9.920210692E0
2.285945300E-1;4.223371983E0;-3.864241600E0;7.326257229E0;9.297487781E0
2.386098460E-1;3.979163170E0;-4.031835556E0;7.230489254E0;9.185282376E0
2.484790040E-1;3.347094059E0;-4.185064793E0;7.220912457E0;8.992184532E0
2.583610830E-1;3.643975019E0;-4.022258759E0;7.354987621E0;9.140730954E0
2.683676230E-1;4.874594688E0;-3.907337189E0;7.015010834E0;9.393579418E0
2.784223930E-1;5.726930618E0;-3.806780815E0;6.924031258E0;9.758664014E0
2.884467780E-1;6.631938934E0;-2.983175278E0;6.282385349E0;9.609907099E0
2.984894700E-1;8.518569946E0;-3.031059265E0;5.477933407E0;1.057171266E1
3.084813160E-1;7.264008045E0;-3.711012602E0;7.369352818E0;1.099294266E1
3.184817390E-1;6.062118530E0;-3.744531393E0;9.246406555E0;1.167333845E1
3.284804510E-1;5.932831764E0;-4.256890774E0;1.030943298E1;1.263344847E1
3.383263070E-1;5.444414616E0;-4.434061527E0;1.021845245E1;1.239835968E1
3.482917350E-1;5.267243862E0;-4.434061527E0;9.232041359E0;1.151674204E1
3.583699490E-1;5.176264286E0;-4.577713490E0;8.518569946E0;1.096882887E1
3.683875560E-1;4.893748283E0;-4.529829502E0;7.666234016E0;1.016067279E1
3.783913590E-1;4.769249916E0;-4.611232281E0;7.402871609E0;9.940408239E0
3.884342610E-1;4.984727859E0;-4.376600742E0;7.632715225E0;1.011239277E1
3.985822120E-1;5.439626217E0;-4.252102375E0;7.728483200E0;1.036336628E1
4.084961870E-1;5.252878666E0;-4.314351559E0;7.402871609E0;1.005031700E1
4.185576750E-1;4.841075897E0;-4.304774761E0;6.900089264E0;9.464583110E0
4.286209190E-1;4.395754337E0;-4.386177540E0;6.861782074E0;9.254472585E0
