"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2.459748700E-2;3.447650373E-1;1.388636947E0;9.093177795E0;9.205056106E0
4.628573700E-2;3.303998411E-1;1.407790542E0;9.265560150E0;9.377720574E0
6.210036200E-2;4.596867263E-1;1.374271750E0;9.289502144E0;9.401850074E0
7.504017400E-2;4.165911078E-1;1.297657371E0;9.069235802E0;9.171068685E0
8.655858000E-2;5.267243981E-1;1.225831270E0;8.877699852E0;8.977396925E0
9.793978300E-2;4.357447028E-1;1.340752959E0;8.628703117E0;8.743112114E0
1.079038850E-1;5.746083856E-1;1.398213744E0;8.542511940E0;8.675234102E0
1.180034360E-1;9.528923035E-1;1.379060149E0;8.303091049E0;8.470603970E0
1.279877110E-1;1.139639974E0;1.288080573E0;8.082824707E0;8.263775534E0
1.379723490E-1;1.187524080E0;1.268926859E0;7.838616371E0;8.028966025E0
1.479566680E-1;1.316810966E0;1.230619669E0;7.551311970E0;7.763422464E0
1.579253270E-1;1.541865945E0;1.225831270E0;7.426813602E0;7.683591164E0
1.678971570E-1;1.805228114E0;1.254561663E0;7.536946774E0;7.851008864E0
1.779495720E-1;1.944091797E0;1.082179189E0;7.915230751E0;8.222012075E0
1.879677790E-1;2.035071373E0;7.900865674E-1;8.470685959E0;8.747472372E0
1.979443830E-1;2.245761156E0;4.740519226E-1;8.887276649E0;9.178880903E0
2.079196850E-1;2.375048161E0;3.112462163E-1;8.877699852E0;9.195177140E0
2.179128360E-1;2.264914751E0;5.506663918E-1;8.269572258E0;8.591792458E0
2.284674110E-1;1.958456993E0;1.110909581E0;7.412448406E0;7.746874548E0
2.393396990E-1;1.771709204E0;1.230619669E0;7.220912457E0;7.536242763E0
2.486843430E-1;1.450886250E0;1.355118155E0;6.971915245E0;7.249070169E0
2.582856650E-1;1.302445769E0;1.211466074E0;7.010222435E0;7.232373996E0
2.681368260E-1;1.599326730E0;8.571242094E-1;7.536946774E0;7.752294794E0
2.780914060E-1;1.929726601E0;6.081272364E-1;8.901641846E0;9.128685066E0
2.879971960E-1;2.078166962E0;5.315127969E-1;9.849745750E0;1.008061383E1
2.979500910E-1;1.915361404E0;4.932055473E-1;1.075475407E1;1.093510842E1
3.080450390E-1;1.862688899E0;2.968810201E-1;1.101811600E1;1.117840008E1
3.179925130E-1;1.810016513E0;2.202665508E-1;1.071644688E1;1.087046047E1
3.279367500E-1;1.953668594E0;1.005564705E-1;9.883264542E0;1.007501120E1
3.379093680E-1;1.972822189E0;1.771709323E-1;9.251194954E0;9.460868089E0
3.478861770E-1;1.786074519E0;2.633621991E-1;8.389283180E0;8.581345705E0
3.579320820E-1;1.197100878E0;1.101332754E-1;7.484274387E0;7.580207316E0
3.679280340E-1;1.886630893E0;-1.053448766E-1;6.679822922E0;6.941938341E0
3.778895100E-1;2.547430515E0;-2.250549644E-1;6.478709698E0;6.965179920E0
3.878882480E-1;3.031059265E0;-4.596867263E-1;6.947973251E0;7.594271819E0
3.979036170E-1;3.007117271E0;-6.991068721E-1;7.580042362E0;8.184653133E0
4.078883020E-1;2.566584110E0;-7.948749661E-1;8.690952301E0;9.096803400E0
4.179261440E-1;2.403778553E0;-6.991068721E-1;9.945513725E0;1.025573718E1
4.279215650E-1;2.284068346E0;-3.399766386E-1;1.052969933E1;1.077994064E1
4.379807760E-1;2.140416384E0;-1.484405100E-1;1.077390766E1;1.098546782E1
