"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.114470400E-2;5.391742229E0;-5.765237808E0;5.142745018E0;9.421076243E0
3.269270400E-2;5.583278179E0;-5.798756599E0;4.529829502E0;9.236770466E0
4.838320400E-2;5.492298603E0;-5.880159378E0;4.845864296E0;9.392764185E0
6.153195400E-2;5.363011837E0;-5.995080948E0;5.190629482E0;9.573166976E0
7.290732900E-2;5.042188644E0;-6.157886982E0;5.382165432E0;9.607858406E0
8.360951600E-2;4.663905144E0;-6.215347767E0;5.683835030E0;9.627488753E0
9.414611000E-2;4.774038315E0;-6.287173748E0;6.129156113E0;9.994325901E0
1.042269070E-1;5.195417881E0;-6.296750546E0;6.009446144E0;1.013680805E1
1.142318050E-1;5.372588634E0;-6.105214119E0;5.506663799E0;9.821491448E0
1.242187540E-1;5.588066578E0;-6.095637321E0;5.032611847E0;9.680416542E0
1.341922290E-1;5.391742229E0;-6.138733387E0;4.898536682E0;9.526310592E0
1.442529660E-1;5.334281445E0;-6.042964935E0;5.118803024E0;9.548514447E0
1.542118350E-1;5.439626217E0;-6.066906929E0;5.171475887E0;9.650961399E0
1.641857690E-1;5.420472622E0;-5.971138954E0;5.023035049E0;9.500889693E0
1.741697360E-1;5.549759388E0;-5.923254967E0;4.855441093E0;9.458334255E0
1.844012200E-1;5.339069843E0;-6.081272125E0;4.620809078E0;9.318766763E0
1.944224620E-1;5.449203014E0;-5.894524574E0;5.085284233E0;9.502596970E0
2.042475830E-1;5.128379822E0;-5.995080948E0;4.386177540E0;9.026617782E0
2.141781430E-1;5.090072632E0;-6.277596951E0;4.405331135E0;9.204564372E0
2.241794230E-1;5.219359875E0;-6.172252178E0;4.611232281E0;9.306012981E0
2.341635630E-1;5.434837818E0;-5.880159378E0;4.611232281E0;9.239978332E0
2.441476330E-1;6.038176537E0;-5.904101372E0;4.352658749E0;9.500717187E0
2.542246680E-1;5.712565422E0;-5.865794182E0;3.792415380E0;9.023489320E0
2.641881860E-1;5.439626217E0;-5.880159378E0;3.548206806E0;8.761026152E0
2.742544450E-1;5.324704647E0;-6.100425720E0;3.256114244E0;8.727539947E0
2.843330740E-1;5.137956619E0;-6.478709698E0;3.337517262E0;8.916910846E0
2.944328890E-1;4.802768707E0;-6.440402508E0;3.787626982E0;8.882088148E0
3.043452960E-1;5.003881454E0;-6.349422932E0;3.998316765E0;9.018898942E0
3.142350000E-1;5.683835030E0;-6.430825710E0;3.849876404E0;9.406542844E0
3.242198520E-1;5.784391403E0;-6.464344501E0;3.495534420E0;9.352309588E0
3.342022780E-1;5.635950565E0;-6.627150536E0;3.241749048E0;9.283964664E0
3.441239910E-1;5.401319027E0;-6.684611320E0;2.820369720E0;9.045040691E0
3.541188470E-1;5.880159378E0;-6.564900875E0;2.437297344E0;9.144102808E0
3.643857750E-1;5.951985359E0;-6.406883717E0;1.790862918E0;8.926448267E0
3.742977390E-1;6.665457726E0;-6.785167694E0;1.522712231E0;9.632521989E0
3.842502210E-1;6.636727333E0;-6.842628479E0;2.255337954E0;9.795624711E0
3.943434620E-1;6.229712963E0;-6.962338448E0;2.873042107E0;9.774346587E0
4.042160830E-1;7.450755596E0;-7.153874874E0;2.298433542E0;1.058179954E1
4.142743930E-1;8.140285492E0;-7.101202011E0;1.829170108E0;1.095614810E1
4.245110480E-1;7.742848396E0;-6.986280441E0;9.481038451E-1;1.047180579E1
4.343633760E-1;7.115567684E0;-6.976703644E0;8.331822157E-1;9.999994490E0
4.444935400E-1;6.727706909E0;-7.101202011E0;7.709329724E-1;9.812412950E0
4.544866220E-1;7.153874874E0;-7.211335659E0;7.038952708E-1;1.018217836E1
4.643371630E-1;7.230489254E0;-7.091625214E0;8.571242094E-1;1.016394534E1
4.742454330E-1;7.101202011E0;-7.240066051E0;1.096544385E0;1.020039391E1
4.841860680E-1;6.517016888E0;-7.364564419E0;1.383848548E0;9.930929211E0
4.941238860E-1;6.258443356E0;-7.201758862E0;9.002198577E-1;9.583519172E0
5.040562950E-1;6.512228489E0;-7.220912457E0;-7.182604820E-2;9.723983524E0
5.140969990E-1;6.718130112E0;-7.268796444E0;-8.188169599E-1;9.931723675E0
5.242168510E-1;7.000645638E0;-7.374141216E0;-1.120486379E0;1.022949108E1
5.341067770E-1;7.201758862E0;-7.292738438E0;-9.768342972E-1;1.029580351E1
5.440752400E-1;7.062894821E0;-7.383718014E0;-5.889736414E-1;1.023477723E1
5.541894720E-1;6.210559368E0;-7.508216381E0;-1.963245422E-1;9.745917310E0
5.641300880E-1;6.019022942E0;-7.354987621E0;1.675941199E-1;9.505396776E0
5.740763960E-1;6.268020153E0;-7.393294811E0;3.160346150E-1;9.697874132E0
5.840555500E-1;6.272808552E0;-7.388506413E0;-1.149216816E-1;9.692851032E0
5.940921270E-1;6.086060524E0;-7.393294811E0;-2.489969730E-1;9.579297488E0
6.040574150E-1;6.119579315E0;-7.445967197E0;-1.436520964E-1;9.639103404E0
6.140275590E-1;6.268020153E0;-7.340622425E0;1.149216816E-1;9.653290694E0
6.240206310E-1;6.574477673E0;-7.287950039E0;6.703764945E-2;9.815419832E0
6.340481670E-1;7.948749542E0;-9.045293808E0;-1.206677675E0;1.210190193E1
6.440914350E-1;6.507440090E0;-7.398083210E0;-8.762778044E-1;9.891727579E0
6.541415690E-1;6.344634533E0;-7.297526836E0;-1.288080573E0;9.755379893E0
6.641446360E-1;7.316680431E0;-7.570465565E0;1.019929886E0;1.057761875E1
6.740836700E-1;7.575253963E0;-7.647080421E0;2.379836559E0;1.102388015E1
6.840571870E-1;7.479485989E0;-7.422025204E0;2.121262789E0;1.074843824E1
6.942844450E-1;7.225700855E0;-8.106766701E0;7.182605267E-1;1.088330452E1
7.042990740E-1;6.598419666E0;-7.637503624E0;4.213795066E-1;1.010188915E1
7.141708890E-1;5.947196960E0;-7.292738438E0;1.316810966E0;9.501956468E0
7.241527960E-1;5.999869347E0;-7.134721279E0;-9.911994934E-1;9.374708334E0
7.342817500E-1;7.077260017E0;-7.651868820E0;1.546654344E0;1.053711751E1
7.441507270E-1;6.354211330E0;-7.302315235E0;2.427720547E0;9.979661140E0
7.541202150E-1;6.330269337E0;-7.096413612E0;4.165911078E-1;9.518662941E0
7.640759590E-1;5.482721806E0;-6.335057735E0;1.987187386E0;8.610581201E0
7.742373310E-1;4.438849926E0;-6.445190907E0;-1.757344007E0;8.020731416E0
7.841200170E-1;4.496310711E0;-6.071695328E0;-3.495534420E0;8.324725524E0
7.941263600E-1;4.539406300E0;-5.980715752E0;-1.470039845E0;7.650894562E0
8.042225320E-1;4.970362663E0;-6.497863293E0;5.027823448E-1;8.196311516E0
8.143091180E-1;4.855441093E0;-6.655880928E0;1.039083481E0;8.303960117E0
8.241674110E-1;4.635174274E0;-6.421248913E0;2.106897533E-1;7.922226223E0
8.341830570E-1;4.544194698E0;-7.053318024E0;-2.681505978E-1;8.394695071E0
8.441963800E-1;4.156333923E0;-6.967126846E0;-1.355118155E0;8.225102637E0
8.542575420E-1;4.984727859E0;-7.508216381E0;-1.149216771E0;9.085236609E0
8.641616230E-1;6.268020153E0;-7.714118004E0;5.746084079E-2;9.939768356E0
8.741451630E-1;5.980715752E0;-7.249642849E0;5.793967843E-1;9.416049223E0
8.843034330E-1;7.264008045E0;-7.105990410E0;5.363011956E-1;1.017587989E1
8.946600680E-1;7.838616371E0;-7.359776020E0;5.171475410E-1;1.076464822E1
9.043548860E-1;7.292738438E0;-7.599195957E0;-4.788403399E-3;1.053241834E1
9.144827950E-1;6.148310184E0;-7.536946774E0;1.628057212E-1;9.727990054E0
9.245382490E-1;6.526593685E0;-7.704541206E0;-3.830722719E-2;1.009741788E1
9.343364760E-1;5.947196960E0;-7.493851185E0;4.405331016E-1;9.577109516E0
9.444235900E-1;6.358999729E0;-7.666234016E0;8.140285611E-1;9.993531110E0
9.542076470E-1;5.544970989E0;-7.805097580E0;6.655880809E-1;9.597356876E0
9.641086750E-1;5.884947777E0;-8.034940720E0;9.289502501E-1;1.000279117E1
9.741951890E-1;5.736507416E0;-6.852205276E0;-9.672574997E-1;8.988649596E0
9.841309460E-1;6.756437302E0;-7.939172745E0;1.034295082E0;1.047614792E1
9.942003250E-1;6.684611320E0;-7.896077156E0;2.968810201E-1;1.034988895E1
1.004148514E0;6.358999729E0;-7.642292023E0;-1.288080573E0;1.002500157E1
1.014106109E0;5.511452198E0;-8.240841866E0;1.388636976E-1;9.914981750E0
1.024106406E0;5.382165432E0;-7.958326340E0;-3.639186621E-1;9.614317431E0
1.034163055E0;6.157886982E0;-7.886500359E0;-8.810662031E-1;1.004453770E1
1.044075879E0;5.300762653E0;-7.522581577E0;-3.256114423E-1;9.208329985E0
1.054280791E0;5.784391403E0;-7.632715225E0;-8.619126081E-1;9.615634090E0
1.064185747E0;5.731719017E0;-7.345410824E0;-1.623268723E0;9.457413199E0
1.074185725E0;5.166687489E0;-7.594407558E0;8.619125932E-2;9.185701644E0
1.084166214E0;5.190629482E0;-7.115567684E0;7.182604820E-2;8.807899686E0
1.094114459E0;6.320692539E0;-7.283161640E0;-2.489969730E-1;9.646636572E0
1.104078081E0;4.865017891E0;-6.861782074E0;-1.436521020E-2;8.411459961E0
1.114348892E0;5.578489780E0;-7.522581577E0;-7.900865674E-1;9.398564710E0
1.124191298E0;5.995080948E0;-7.948749542E0;-3.064578176E-1;9.960799729E0
1.134414001E0;5.497087002E0;-8.087613106E0;-1.723825186E-1;9.780448200E0
1.144250852E0;5.319916248E0;-7.891288757E0;1.244984865E-1;9.517848865E0
1.154234278E0;6.153098583E0;-9.792284966E0;3.921702385E0;1.221184739E1
1.164142991E0;5.104437828E0;-8.082824707E0;-1.762132406E0;9.720722782E0
1.174155347E0;5.559336185E0;-9.284713745E0;-7.757213712E-1;1.084960238E1
1.184311525E0;5.295974255E0;-8.901641846E0;-2.394201756E-1;1.036068979E1
1.194150614E0;5.453991413E0;-8.935160637E0;-1.867477298E-1;1.046986116E1
1.204155159E0;5.267243862E0;-8.690952301E0;-5.746084079E-2;1.016266754E1
1.214250431E0;5.161899090E0;-8.729259491E0;1.675941199E-1;1.014264567E1
1.224179567E0;4.711789131E0;-8.872911453E0;3.208230138E-1;1.005148954E1
1.234204135E0;4.448426723E0;-8.638279915E0;2.968810201E-1;9.720931979E0
1.244295419E0;5.281609058E0;-8.925583839E0;-2.585737705E-1;1.037440608E1
1.254298061E0;4.716577530E0;-8.705317497E0;2.681505978E-1;9.904572735E0
1.264196882E0;5.094861031E0;-8.231265068E0;4.357447028E-1;9.690263515E0
1.274163793E0;4.405331135E0;-6.976703644E0;-9.576807022E-1;8.306532879E0
1.284097748E0;4.596867263E-1;-3.653551817E0;-4.309563041E-1;3.707489191E0
1.294174226E0;1.000297451E1;-1.372835255E1;6.239289761E0;1.809574258E1
1.304178965E0;4.055777550E0;-8.197746277E0;1.283292055E0;9.235757362E0
1.314230334E0;5.142745018E0;-8.135497093E0;-4.165911078E-1;9.633674658E0
1.324169519E0;5.051765442E0;-1.029027843E1;-4.213795066E-1;1.147116930E1
1.334260611E0;4.611232281E0;-1.029506683E1;9.097966552E-2;1.128096368E1
1.344246157E0;5.051765442E0;-1.020408726E1;3.351882473E-2;1.138616943E1
1.354172930E0;4.702212334E0;-9.677363396E0;2.394201607E-2;1.075930929E1
1.364161317E0;4.319139957E0;-9.342175484E0;2.202665508E-1;1.029464570E1
1.374164510E0;4.290409565E0;-8.973467827E0;5.363011956E-1;9.960841232E0
1.384183107E0;4.007893562E0;-9.035717010E0;4.979939461E-1;9.897241569E0
