"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.258446900E-2;4.596867263E-1;5.406107426E0;8.446743965E0;1.003916296E1
3.422396900E-2;6.081272364E-1;5.449203014E0;8.714894295E0;1.029626218E1
5.011721900E-2;8.283938169E-1;5.420472622E0;8.432378769E0;1.005846765E1
6.294784400E-2;1.134851575E0;5.391742229E0;7.728483200E0;9.491481704E0
7.433915600E-2;1.297657371E0;5.463568211E0;6.842628479E0;8.851895658E0
8.506931200E-2;1.312022567E0;5.597643375E0;6.210559368E0;8.463218196E0
9.550739000E-2;1.024718285E0;5.736507416E0;6.239289761E0;8.537347458E0
1.056439290E-1;8.236053586E-1;5.846640587E0;6.866570473E0;9.056010269E0
1.157866990E-1;8.858546019E-1;5.770026207E0;7.522581577E0;9.521931232E0
1.257950840E-1;7.757213712E-1;5.554547787E0;7.790732384E0;9.599492478E0
1.357632760E-1;6.560112834E-1;5.482721806E0;7.848193169E0;9.596078637E0
1.457773720E-1;5.698199868E-1;5.540182590E0;7.489062786E0;9.332972697E0
1.557969200E-1;8.427590132E-1;5.425261021E0;7.522581577E0;9.313051781E0
1.658166940E-1;1.867477298E0;3.749319792E0;7.886500359E0;8.929824089E0
1.758185810E-1;7.517793179E-1;5.578489780E0;8.327033043E0;1.005107953E1
1.857725250E-1;1.029506683E0;6.057330132E0;8.686163902E0;1.063957592E1
1.958604970E-1;8.906430602E-1;5.621585369E0;7.996633530E0;9.815376454E0
2.058409830E-1;7.038952708E-1;5.363011837E0;7.953537941E0;9.618530568E0
2.162357260E-1;6.464344859E-1;5.396530628E0;8.106766701E0;9.760127392E0
2.260420970E-1;6.847416759E-1;5.511452198E0;8.250418663E0;9.945571105E0
2.358942830E-1;8.188169599E-1;5.439626217E0;8.197746277E0;9.872337039E0
2.458973760E-1;9.528923035E-1;5.382165432E0;8.121131897E0;9.789202816E0
2.558584220E-1;9.289502501E-1;5.291185856E0;8.025363922E0;9.657435602E0
2.658289450E-1;9.720458984E-1;5.262455463E0;8.030152321E0;9.649956323E0
2.759327070E-1;1.110909581E0;5.291185856E0;8.106766701E0;9.744251341E0
2.858430880E-1;1.278503656E0;5.305551052E0;8.097189903E0;9.764626357E0
2.959277780E-1;1.288080573E0;5.343858242E0;7.996633530E0;9.703716828E0
3.058726230E-1;1.249773264E0;5.463568211E0;7.934384346E0;9.714266094E0
3.158120460E-1;1.177947283E0;5.458779812E0;7.996633530E0;9.753562664E0
3.257987570E-1;1.082179189E0;5.439626217E0;7.738059998E0;9.520410585E0
3.358121130E-1;1.096544385E0;5.477933407E0;7.187393665E0;9.103229740E0
3.458172910E-1;1.063025594E0;5.477933407E0;7.235277653E0;9.137123209E0
3.557953800E-1;8.906430602E-1;5.434837818E0;7.709329605E0;9.474411334E0
3.658194240E-1;8.236053586E-1;5.410895824E0;7.819462776E0;9.544638155E0
3.758789460E-1;8.619126081E-1;5.377377033E0;7.805097580E0;9.517280354E0
3.858832070E-1;8.810662031E-1;5.492298603E0;7.953537941E0;9.705688403E0
3.959393380E-1;8.475474119E-1;5.631162167E0;8.121131897E0;9.918725082E0
4.058504030E-1;8.523358107E-1;5.717353821E0;8.030152321E0;9.894339662E0
4.161244360E-1;8.667010069E-1;5.736507416E0;7.939172745E0;9.833064214E0
4.260499520E-1;9.145850539E-1;5.755661011E0;7.843404770E0;9.771545317E0
4.358912100E-1;1.010353088E0;5.817910194E0;7.738059998E0;9.733779580E0
4.460148390E-1;1.106121182E0;5.870582581E0;7.680599213E0;9.730305657E0
4.558671540E-1;1.221042871E0;5.846640587E0;7.546523571E0;9.624145149E0
4.658853110E-1;1.168370485E0;5.793968201E0;7.196970463E0;9.312977018E0
4.759003900E-1;1.192312479E0;5.650316238E0;6.722918510E0;8.862579531E0
4.858639290E-1;1.197100878E0;5.573701382E0;6.761225700E0;8.843832347E0
4.958186990E-1;1.010353088E0;5.583278179E0;7.058106422E0;9.055974539E0
5.057640840E-1;9.576807022E-1;5.750872612E0;7.283161640E0;9.329208520E0
5.158807760E-1;1.125274777E0;5.837063789E0;7.340622425E0;9.445755374E0
5.258276220E-1;1.197100878E0;5.870582581E0;7.402871609E0;9.523617926E0
5.358295450E-1;1.015141487E0;6.430825710E0;7.249642849E0;9.743887981E0
