"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
0.000000000E0;-9.576806426E-2;5.578489780E0;8.049305916E0;9.793877959E0
0.000000000E0;2.202665508E-1;5.640739441E0;7.642292023E0;9.501109733E0
1.220211500E-2;1.197100878E-1;5.731719017E0;7.168240070E0;9.178812510E0
2.492836500E-2;-2.394201607E-2;5.861005783E0;6.813898087E0;8.987834508E0
3.644999000E-2;-1.244984865E-1;5.990292549E0;6.670246124E0;8.966118896E0
4.714080200E-2;-2.202665508E-1;6.052541733E0;6.809109688E0;9.112944284E0
5.737020800E-2;-3.160346150E-1;5.971138954E0;7.110779285E0;9.290724425E0
6.751341100E-2;-4.070142806E-1;5.913678169E0;7.560888767E0;9.607512116E0
7.769351300E-2;-4.884171486E-1;5.875370979E0;7.809885979E0;9.785338750E0
8.767906400E-2;-4.405331016E-1;5.832275391E0;7.905653954E0;9.834066813E0
9.758983900E-2;-4.548983276E-1;5.827486992E0;7.977479935E0;9.889728168E0
1.079242270E-1;-4.070142806E-1;5.837063789E0;7.943961143E0;9.866280604E0
1.177679210E-1;-4.357447028E-1;5.875370979E0;7.800309181E0;9.775207461E0
1.276492680E-1;-3.974374831E-1;5.884947777E0;7.752425194E0;9.741183874E0
1.376419410E-1;-2.825157940E-1;5.908889771E0;7.738059998E0;9.740244659E0
1.476632780E-1;-1.149216816E-1;5.889736176E0;7.714118004E0;9.706174107E0
1.577994460E-1;1.915361360E-2;5.875370979E0;7.599195957E0;9.605630130E0
1.677375300E-1;1.723825186E-1;5.750872612E0;7.546523571E0;9.489587427E0
1.778590720E-1;2.729389966E-1;5.650316238E0;7.541735172E0;9.427530891E0
1.879348430E-1;3.782838583E-1;5.573701382E0;7.354987621E0;9.236075394E0
1.977227290E-1;4.165911078E-1;5.535394192E0;7.177816868E0;9.073874145E0
2.079961720E-1;3.926490843E-1;5.516240597E0;7.264008045E0;9.129561682E0
2.178643930E-1;3.256114423E-1;5.506663799E0;7.211335659E0;9.079247270E0
2.276935040E-1;1.723825186E-1;5.573701382E0;7.311892033E0;9.195630915E0
2.377055590E-1;4.788403213E-2;5.679046631E0;7.417236805E0;9.341802039E0
2.477560870E-1;-1.101332754E-1;5.760449409E0;7.570465565E0;9.513509111E0
2.578918510E-1;-2.202665508E-1;5.913678169E0;7.493851185E0;9.548712606E0
2.677647330E-1;-3.351882398E-1;6.052541733E0;7.469909191E0;9.620039288E0
2.777836740E-1;-5.937620401E-1;6.229712963E0;7.618350029E0;9.859063552E0
2.878246440E-1;-5.650315881E-1;6.268020153E0;7.623138428E0;9.885321281E0
2.977296290E-1;-5.506663918E-1;6.239289761E0;8.006210327E0;1.016520408E1
3.078896220E-1;-5.698199868E-1;6.177040577E0;8.245630264E0;1.031847584E1
3.180721180E-1;-7.134721279E-1;6.181828976E0;8.255207062E0;1.033791544E1
3.277943660E-1;-1.005564690E0;6.244078159E0;7.987056732E0;1.018787258E1
3.378664900E-1;-1.206677675E0;6.186617374E0;7.575253963E0;9.854683057E0
3.476920520E-1;-1.264138460E0;6.153098583E0;7.297526836E0;9.628736477E0
3.576893330E-1;-1.412579060E0;6.129156113E0;7.340622425E0;9.666781876E0
3.676594740E-1;-1.412579060E0;6.172252178E0;7.364564419E0;9.712305886E0
3.776815440E-1;-1.369483352E0;6.301538944E0;7.345410824E0;9.774453329E0
3.876225790E-1;-1.307234168E0;6.349422932E0;7.173028469E0;9.668317855E0
3.975550970E-1;-1.221042871E0;6.382941723E0;7.062894821E0;9.597779638E0
4.075923560E-1;-1.154005170E0;6.344634533E0;6.900089264E0;9.444434718E0
4.177334850E-1;-1.182735682E0;6.282385349E0;6.727706909E0;9.280585629E0
4.276260500E-1;-1.216254473E0;6.306327343E0;6.670246124E0;9.259655655E0
4.376583320E-1;-1.201889277E0;6.330269337E0;7.062894821E0;9.560404331E0
4.476819730E-1;-1.412579060E0;6.416460514E0;7.493851185E0;9.966150245E0
4.576637940E-1;-1.508347034E0;6.435614109E0;7.680599213E0;1.013330371E1
4.675992040E-1;-1.551442742E0;6.440402508E0;7.522581577E0;1.002372150E1
4.777644090E-1;-1.532289028E0;6.430825710E0;7.244854450E0;9.807718643E0
4.876960120E-1;-1.575384736E0;6.358999729E0;7.024587631E0;9.605391507E0
4.976868130E-1;-1.541865945E0;6.306327343E0;6.924031258E0;9.491539601E0
5.079257140E-1;-1.431732655E0;6.167463779E0;6.895300865E0;9.361230789E0
5.178591640E-1;-1.249773264E0;6.071695328E0;6.914454460E0;9.286393156E0
5.276978890E-1;-1.019929886E0;6.009446144E0;7.163451672E0;9.405782253E0
5.378067520E-1;-9.050082564E-1;6.038176537E0;7.589619160E0;9.740684515E0
5.476926830E-1;-9.959878922E-1;6.081272125E0;8.020575523E0;1.011451898E1
5.576631490E-1;-1.034295082E0;6.138733387E0;8.159439087E0;1.026305316E1
5.675923820E-1;-1.015141487E0;6.157886982E0;7.991845131E0;1.014000360E1
5.775954980E-1;-8.283938169E-1;6.110002518E0;7.742848396E0;9.897983046E0
5.876315560E-1;-6.991068721E-1;6.124367714E0;7.599195957E0;9.784907231E0
5.976865850E-1;-7.709329724E-1;6.114790916E0;7.603984833E0;9.788033047E0
6.076551000E-1;-9.145850539E-1;6.095637321E0;7.690176010E0;9.855560220E0
6.176393570E-1;-9.576807022E-1;6.181828976E0;7.766790390E0;9.972722536E0
6.276214860E-1;-1.039083481E0;6.311115742E0;7.833827972E0;1.011329507E1
