"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
3.451927900E-2;1.029506683E0;5.655104637E0;8.034940720E0;9.879289693E0
5.615327900E-2;1.379060149E0;5.659893036E0;7.862558365E0;9.785500504E0
7.197277900E-2;1.551442742E0;5.774814606E0;7.436390400E0;9.542293251E0
8.501102900E-2;1.594538331E0;5.765237808E0;7.091625214E0;9.277481751E0
9.644315400E-2;1.570596337E0;5.741295815E0;6.847416878E0;9.072836843E0
1.071157160E-1;1.537077546E0;5.774814606E0;6.689399719E0;8.969902994E0
1.175939970E-1;1.498770237E0;5.808333397E0;6.722918510E0;9.010032318E0
1.277426380E-1;1.752555609E0;5.889736176E0;6.852205276E0;9.203975257E0
1.378194580E-1;1.881842494E0;5.913678169E0;6.660669327E0;9.103704550E0
1.479153680E-1;1.728613615E0;5.956773758E0;6.449979305E0;8.948379276E0
1.578508230E-1;1.470039845E0;5.889736176E0;6.454767704E0;8.860814606E0
1.679015510E-1;1.254561663E0;5.947196960E0;6.799532890E0;9.120127421E0
1.779689150E-1;1.288080573E0;5.956773758E0;7.187393665E0;9.423424689E0
1.879590970E-1;1.369483352E0;5.918466568E0;7.426813602E0;9.594857552E0
1.979151880E-1;1.297657371E0;5.765237808E0;7.709329605E0;9.713683369E0
2.079512330E-1;1.144428372E0;5.770026207E0;7.939172745E0;9.880960611E0
2.179907560E-1;1.125274777E0;5.774814606E0;7.924807549E0;9.870020351E0
2.279500170E-1;1.048660398E0;5.817910194E0;7.814674377E0;9.798821525E0
2.378991480E-1;9.193734527E-1;5.827486992E0;7.666234016E0;9.673468674E0
2.478887130E-1;8.619126081E-1;5.856217384E0;7.541735172E0;9.587280365E0
2.579414960E-1;9.864110947E-1;5.980715752E0;7.201758862E0;9.413144982E0
2.679648870E-1;9.864110947E-1;5.990292549E0;6.924031258E0;9.208627505E0
2.778815830E-1;9.097966552E-1;5.889736176E0;7.235277653E0;9.373684702E0
2.879219310E-1;9.433154464E-1;5.822698593E0;7.637503624E0;9.650135986E0
2.979106050E-1;1.010353088E0;5.851428986E0;7.886500359E0;9.872027271E0
3.078664420E-1;1.216254473E0;5.928043365E0;7.867346764E0;9.925528610E0
3.178893600E-1;1.307234168E0;5.899312973E0;7.479485989E0;9.615272507E0
3.279808190E-1;1.106121182E0;5.817910194E0;7.153874874E0;9.287061366E0
3.379610490E-1;1.024718285E0;5.817910194E0;7.149086475E0;9.274026311E0
3.479411640E-1;1.206677675E0;5.837063789E0;7.359776020E0;9.470675148E0
3.579052210E-1;1.249773264E0;5.928043365E0;7.661445618E0;9.767363017E0
3.679362500E-1;1.359906554E0;6.014234543E0;7.656657219E0;9.830806820E0
3.779317640E-1;1.436521053E0;6.033388138E0;7.388506413E0;9.646522283E0
3.879140210E-1;1.307234168E0;5.995080948E0;7.101202011E0;9.384930833E0
3.979606500E-1;1.316810966E0;6.042964935E0;6.861782074E0;9.237719933E0
4.080009640E-1;1.216254473E0;6.004657745E0;6.794744492E0;9.148974931E0
4.180076210E-1;1.216254473E0;5.837063789E0;6.967126846E0;9.170138773E0
4.279009500E-1;1.379060149E0;5.712565422E0;7.613561630E0;9.617771639E0
4.378546140E-1;1.647210717E0;5.793968201E0;8.221688271E0;1.019213072E1
4.478504460E-1;1.709460020E0;5.904101372E0;8.259995461E0;1.029602795E1
4.578348620E-1;1.642422318E0;5.923254967E0;8.097189903E0;1.016597191E1
4.678645700E-1;1.470039845E0;5.865794182E0;7.805097580E0;9.873606573E0
4.779209240E-1;1.350329757E0;5.856217384E0;7.465120792E0;9.583668449E0
4.878781010E-1;1.326387763E0;6.004657745E0;7.340622425E0;9.576009436E0
4.979766900E-1;1.364694953E0;6.143521786E0;7.235277653E0;9.589290639E0
5.079514840E-1;1.345541358E0;6.239289761E0;6.914454460E0;9.410042441E0
5.178858810E-1;1.302445769E0;6.191405773E0;6.742072105E0;9.245831856E0
5.278740800E-1;1.350329757E0;6.196194172E0;6.617573261E0;9.165614466E0
5.379251790E-1;1.589749932E0;6.258443356E0;6.449979305E0;9.126754687E0
5.479077290E-1;1.675941229E0;6.291962147E0;6.177040577E0;8.975154425E0
5.578800040E-1;1.723825216E0;6.287173748E0;6.047753334E0;8.892437658E0
5.678626410E-1;1.723825216E0;6.229712963E0;5.966350555E0;8.796489978E0
5.781024600E-1;1.623268723E0;6.272808552E0;6.009446144E0;8.837226456E0
5.880003690E-1;1.517923832E0;6.229712963E0;6.339846134E0;9.017043050E0
5.979208240E-1;1.379060149E0;6.239289761E0;6.833051682E0;9.355273320E0
6.078890510E-1;1.268926859E0;6.277596951E0;7.077260017E0;9.544946736E0
6.178796650E-1;1.307234168E0;6.287173748E0;7.302315235E0;9.724259494E0
6.278644720E-1;1.254561663E0;6.296750546E0;7.479485989E0;9.857266510E0
6.378993750E-1;1.192312479E0;6.335057735E0;7.503427982E0;9.892219015E0
6.478853270E-1;1.182735682E0;6.320692539E0;7.632715225E0;9.980398768E0
6.578588030E-1;1.192312479E0;6.378153324E0;7.924807549E0;1.024231534E1
6.678410410E-1;1.120486379E0;6.301538944E0;7.891288757E0;1.016057681E1
6.778241600E-1;1.091755986E0;6.330269337E0;7.637503624E0;9.979764657E0
6.879127190E-1;1.134851575E0;6.248866558E0;7.532158375E0;9.852392153E0
6.978884990E-1;1.197100878E0;6.358999729E0;7.929595947E0;1.023466755E1
7.078718890E-1;1.379060149E0;6.483498096E0;8.183381081E0;1.053115760E1
7.178435840E-1;1.417367458E0;6.445190907E0;8.226476669E0;1.054629483E1
7.278489310E-1;1.431732655E0;6.301538944E0;8.192957878E0;1.043474055E1
7.378986050E-1;1.163581967E0;6.287173748E0;7.848193169E0;1.012307329E1
7.479129420E-1;9.002198577E-1;6.268020153E0;7.254431248E0;9.629394849E0
7.578756100E-1;6.560112834E-1;6.483498096E0;6.665457726E0;9.321717924E0
7.678539440E-1;4.118026793E-1;6.928819656E0;6.253654957E0;9.342715001E0
7.778686110E-1;4.261679053E-1;7.072471619E0;6.009446144E0;9.290582158E0
7.878284450E-1;4.022258818E-1;7.268796444E0;6.196194172E0;9.559812217E0
7.978453620E-1;7.852981687E-1;7.110779285E0;6.406883717E0;9.603542795E0
8.078283200E-1;1.034295082E0;6.947973251E0;6.358999729E0;9.475282380E0
8.178157990E-1;1.134851575E0;6.947973251E0;6.224924564E0;9.397441473E0
8.278235390E-1;1.063025594E0;7.125144482E0;5.971138954E0;9.356933670E0
8.378334090E-1;1.163581967E0;7.125144482E0;5.669469833E0;9.179569438E0
8.478458440E-1;1.316810966E0;7.125144482E0;5.214571476E0;8.927117714E0
8.578405610E-1;1.106121182E0;7.038952827E0;4.884171486E0;8.638604753E0
8.678249200E-1;8.810662031E-1;7.067683220E0;5.104437828E0;8.762631414E0
8.778185990E-1;9.433154464E-1;7.311892033E0;5.645527840E0;9.285773727E0
8.878404390E-1;9.911994934E-1;7.465120792E0;5.573701382E0;9.368919467E0
8.978668590E-1;1.158793569E0;7.560888767E0;4.979939461E0;9.127411381E0
9.078720690E-1;1.556231141E0;7.493851185E0;4.568136692E0;8.913334605E0
9.178831740E-1;2.082955360E0;7.436390400E0;4.357447147E0;8.867127543E0
9.278562260E-1;2.456450939E0;7.417236805E0;4.481945515E0;9.007629468E0
9.378307520E-1;4.879383087E0;7.297526836E0;5.252878666E0;1.023010320E1
9.478410150E-1;3.284844637E0;7.388506413E0;5.564124584E0;9.815279603E0
9.578476470E-1;1.522712231E0;8.054094315E0;6.234501362E0;1.029835399E1
9.678254630E-1;7.900865674E-1;8.097189903E0;6.545747280E0;1.044200788E1
9.778663710E-1;9.241618514E-1;7.575253963E0;6.507440090E0;1.002922351E1
9.878593250E-1;1.393425345E0;7.235277653E0;6.382941723E0;9.748477930E0
9.978893020E-1;1.522712231E0;7.460332394E0;6.540958881E0;1.003789595E1
1.007870290E0;1.666364431E0;7.661445618E0;6.550535679E0;1.021685064E1
1.017892284E0;1.661576033E0;7.632715225E0;6.373364925E0;1.008161481E1
1.027878781E0;1.752555609E0;7.575253963E0;6.062118530E0;9.859269996E0
1.037936530E0;2.063801765E0;7.632715225E0;5.698200226E0;9.746132836E0
1.047876404E0;2.264914751E0;7.584830761E0;5.319916248E0;9.537347922E0
1.057878341E0;2.456450939E0;7.560888767E0;4.850652695E0;9.312895454E0
1.067847310E0;2.561795712E0;7.675810814E0;4.371812344E0;9.197478572E0
1.077852794E0;2.394201756E0;7.738059998E0;4.118026733E0;9.086689097E0
1.087832036E0;2.145204782E0;7.733271599E0;4.089296341E0;9.007093746E0
1.097816157E0;1.929726601E0;7.728483200E0;4.137180328E0;8.976054723E0
1.107891218E0;1.886630893E0;7.733271599E0;4.228160381E0;9.013334897E0
1.117870748E0;2.102109194E0;7.699752808E0;4.122815132E0;8.983465978E0
1.127876513E0;2.331952572E0;7.685387611E0;3.940855980E0;8.946146175E0
1.137831896E0;2.375048161E0;7.594407558E0;4.007893562E0;8.909494415E0
1.147798587E0;2.317587137E0;7.474697590E0;4.405331135E0;8.980493116E0
1.157809933E0;2.178723574E0;7.465120792E0;4.539406300E0;9.004503007E0
1.167821606E0;2.528276920E0;7.532158375E0;4.683058739E0;9.222615308E0
1.177830942E0;3.275267839E0;7.814674377E0;4.592078686E0;9.637619089E0
1.187809610E0;4.194641590E0;7.805097580E0;4.687847137E0;1.002449386E1
1.197894444E0;4.606443882E0;8.116343498E0;4.663905144E0;1.043294629E1
1.207874861E0;4.453215122E0;8.513781548E0;4.218583584E0;1.049342883E1
1.217846070E0;4.194641590E0;7.575253963E0;4.261679173E0;9.650979228E0
1.227828674E0;3.706224203E0;7.762001991E0;4.376600742E0;9.650875961E0
1.237864476E0;3.007117271E0;8.288725853E0;4.352658749E0;9.833176940E0
1.247834377E0;2.964021683E0;8.221688271E0;4.419696331E0;9.793635597E0
1.257878328E0;2.533065319E0;8.178592682E0;4.491522312E0;9.668483379E0
1.267847803E0;2.911349297E0;8.710105896E0;4.797980309E0;1.036158842E1
