"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
0.000000000E0;1.134851575E0;6.560112476E0;6.033388138E0;8.984694554E0
0.000000000E0;9.816226959E-1;6.454767704E0;6.248866558E0;9.037474342E0
1.156268300E-2;9.816226959E-1;6.325480938E0;6.584054470E0;9.182868042E0
2.448349500E-2;9.481038451E-1;6.268020153E0;6.799532890E0;9.296269417E0
3.608040100E-2;9.050082564E-1;6.239289761E0;6.766014099E0;9.248065930E0
4.670185400E-2;8.667010069E-1;6.277596951E0;6.866570473E0;9.343938365E0
5.710108100E-2;7.326257229E-1;6.253654957E0;6.914454460E0;9.351717556E0
6.723119400E-2;4.548983276E-1;6.186617374E0;7.110779285E0;9.436331335E0
7.729175100E-2;3.639186621E-1;6.181828976E0;7.450755596E0;9.688199277E0
8.738152900E-2;3.734954596E-1;6.244078159E0;7.584830761E0;9.831463197E0
9.735141800E-2;4.644751251E-1;6.263231754E0;7.445967197E0;9.740956660E0
1.073978630E-1;3.912125587E0;5.674258232E0;7.699752808E0;1.033383406E1
1.174520850E-1;3.825934410E0;6.038176537E0;7.244854450E0;1.017768471E1
1.274891960E-1;1.671152830E0;6.799532890E0;6.694188118E0;9.687030188E0
1.375197520E-1;6.177040339E-1;6.689399719E0;6.291962147E0;9.204260673E0
1.476190300E-1;3.974374831E-1;6.722918510E0;5.808333397E0;8.893386683E0
1.577186690E-1;5.410895944E-1;6.603208065E0;5.908889771E0;8.877506013E0
1.676849880E-1;6.943184733E-1;6.497863293E0;6.339846134E0;9.104831383E0
1.776536480E-1;7.422025204E-1;6.540958881E0;6.833051682E0;9.488182279E0
1.877339780E-1;6.607996821E-1;6.507440090E0;7.484274387E0;9.939708037E0
1.978111430E-1;5.410895944E-1;6.368576527E0;7.795520782E0;1.008075836E1
2.078317250E-1;4.405331016E-1;6.200982571E0;8.054094315E0;1.017421690E1
2.177435160E-1;2.394201756E-1;6.239289761E0;8.216899872E0;1.032005340E1
2.277304120E-1;2.729389966E-1;6.244078159E0;8.078036308E0;1.021360261E1
2.377758600E-1;3.734954596E-1;6.224924564E0;7.776367188E0;9.968002374E0
2.478220840E-1;3.639186621E-1;6.114790916E0;7.671022415E0;9.816704622E0
2.577901960E-1;2.729389966E-1;6.062118530E0;7.685387611E0;9.792290820E0
2.677107520E-1;3.447650373E-1;6.129156113E0;7.675810814E0;9.828707404E0
2.776155300E-1;3.687070608E-1;6.004657745E0;7.527369976E0;9.636034365E0
2.876544190E-1;3.256114423E-1;6.564900875E0;6.780379295E0;9.443383382E0
2.975648630E-1;5.937620401E-1;6.947973251E0;6.368576527E0;9.443815576E0
3.075185850E-1;1.130063176E0;6.852205276E0;6.684611320E0;9.639179863E0
3.176114460E-1;1.589749932E0;6.799532890E0;7.714118004E0;1.040521835E1
3.277738770E-1;1.623268723E0;6.794744492E0;8.475474358E0;1.098349761E1
3.377500920E-1;1.498770237E0;6.641515732E0;8.259995461E0;1.070437146E1
3.478472000E-1;1.666364431E0;6.373364925E0;7.733271599E0;1.015874207E1
3.576897540E-1;1.685518026E0;6.124367714E0;7.115567684E0;9.538351764E0
3.676650310E-1;1.388636947E0;5.985504150E0;6.737283707E0;9.118418956E0
3.776616690E-1;1.134851575E0;5.947196960E0;6.344634533E0;8.769916028E0
3.878299880E-1;5.698199868E-1;6.861782074E0;5.525817394E0;8.828556276E0
3.976541480E-1;5.027823448E-1;6.919242859E0;5.698200226E0;8.977649895E0
4.075612280E-1;4.165911078E-1;6.770802498E0;5.439626217E0;8.695219836E0
4.175662680E-1;5.793967843E-1;6.378153324E0;5.272032261E0;8.295231439E0
4.274817880E-1;3.160346150E-1;7.240066051E0;4.132391930E0;8.342367612E0
4.375015480E-1;1.340752989E-1;7.498639584E0;4.050989151E0;8.523971193E0
4.475259280E-1;9.576806426E-2;7.134721279E0;4.534617901E0;8.454358566E0
4.575541180E-1;1.580173075E-1;7.168240070E0;5.008669853E0;8.746165381E0
4.674607130E-1;4.692635238E-1;6.871358871E0;6.291962147E0;9.328695978E0
4.775505100E-1;8.092401624E-1;6.933608055E0;7.723694801E0;1.041082378E1
4.876424090E-1;8.427590132E-1;7.287950039E0;7.939172745E0;1.080994553E1
4.977343580E-1;7.086837292E-1;7.790732384E0;7.144298077E0;1.059427858E1
5.077583330E-1;8.523358107E-1;7.493851185E0;6.722918510E0;1.010355953E1
5.177818200E-1;7.230489254E-1;7.311892033E0;6.555324078E0;9.846767927E0
5.275700640E-1;3.112462163E-1;7.163451672E0;6.641515732E0;9.773517549E0
5.374466860E-1;1.340752989E-1;7.077260017E0;6.694188118E0;9.742573587E0
5.474049970E-1;5.746084079E-2;6.976703644E0;6.933608055E0;9.836290772E0
5.573756520E-1;1.292868853E-1;7.163451672E0;6.924031258E0;9.963632059E0
5.673749800E-1;3.256114423E-1;7.201758862E0;6.703764915E0;9.844379998E0
5.773846440E-1;3.016694188E-1;7.105990410E0;6.598419666E0;9.701816646E0
5.873839760E-1;1.675941199E-1;7.163451672E0;6.512228489E0;9.682574427E0
5.973671420E-1;1.771709323E-1;7.192182064E0;6.646304131E0;9.794500037E0
6.073997250E-1;3.878606856E-1;7.110779285E0;7.005434036E0;9.989480667E0
6.176115160E-1;7.278373241E-1;7.450755596E0;7.196970463E0;1.038459869E1
6.275769120E-1;7.613561153E-1;7.383718014E0;7.211335659E0;1.034902492E1
6.377261100E-1;5.363011956E-1;7.383718014E0;6.986280441E0;1.017914658E1
6.475277090E-1;4.261679053E-1;7.335834026E0;6.569689274E0;9.856819827E0
6.574925080E-1;3.543418646E-1;7.287950039E0;6.301538944E0;9.641014832E0
6.674494080E-1;4.740519226E-1;7.235277653E0;6.076483727E0;9.460318304E0
6.774603580E-1;7.086837292E-1;6.818686485E0;6.440402508E0;9.406141742E0
6.875018330E-1;8.092401624E-1;6.809109688E0;6.612784863E0;9.526162292E0
6.975045700E-1;8.188169599E-1;7.220912457E0;6.047753334E0;9.454488791E0
7.075334390E-1;4.644751251E-1;7.924807549E0;5.099649429E0;9.435292053E0
7.174733730E-1;2.394201756E-1;8.212111473E0;4.194641590E0;9.224484535E0
7.274103400E-1;1.723825186E-1;7.934384346E0;3.849876404E0;8.820755013E0
7.373763240E-1;1.915361285E-1;7.862558365E0;3.964797974E0;8.807731439E0
7.473783160E-1;1.244984865E-1;7.824251175E0;4.232948780E0;8.896755684E0
7.574343120E-1;1.867477298E-1;7.891288757E0;4.400542736E0;9.037261164E0
7.674783100E-1;1.628057212E-1;7.953537941E0;4.754884720E0;9.267912396E0
7.774318090E-1;2.585737705E-1;8.101978302E0;5.032611847E0;9.541283708E0
7.875780580E-1;2.298433632E-1;8.178592682E0;5.147533417E0;9.666400907E0
7.975331830E-1;2.968810201E-1;8.236053467E0;4.836287498E0;9.555647117E0
8.074547450E-1;5.123591423E-1;7.896077156E0;4.616020679E0;9.160687379E0
8.174750260E-1;6.129156351E-1;7.809885979E0;4.558559895E0;9.063688702E0
8.274971670E-1;5.841852427E-1;7.776367188E0;4.486733913E0;8.996885030E0
8.375907370E-1;4.836287498E-1;7.766790390E0;4.486733913E0;8.982633853E0
8.474755220E-1;3.639186621E-1;7.809885979E0;4.491522312E0;9.016680568E0
8.574639150E-1;3.495534360E-1;7.800309181E0;4.381389141E0;8.953411737E0
8.676246110E-1;3.830722570E-1;7.809885979E0;4.295197964E0;8.921310941E0
8.775234590E-1;4.022258818E-1;7.785943985E0;4.367023945E0;8.936084575E0
8.875253830E-1;8.236053586E-1;7.637503624E0;4.592078686E0;8.949691282E0
8.974408450E-1;3.222595453E0;7.584830761E0;5.123591423E0;9.703915096E0
9.074650760E-1;2.791639090E0;6.943184853E0;5.918466568E0;9.540928216E0
9.176871920E-1;5.650315881E-1;7.891288757E0;8.082824707E0;1.131033838E1
9.275327500E-1;-5.123591423E-1;8.149862289E0;8.465897560E0;1.176240574E1
9.374730290E-1;-2.777273953E-1;7.800309181E0;8.552088737E0;1.157843589E1
9.475661680E-1;4.453215301E-1;7.292738438E0;9.174580574E0;1.172839605E1
9.574787380E-1;7.038952708E-1;7.460332394E0;9.667786598E0;1.223184883E1
9.675600230E-1;7.038952708E-1;7.647080421E0;9.179368973E0;1.196804588E1
9.774761650E-1;5.889736414E-1;7.565677166E0;8.183381081E0;1.116038023E1
9.875737360E-1;4.644751251E-1;7.503427982E0;7.211335659E0;1.041731878E1
9.977730220E-1;4.979939461E-1;7.503427982E0;6.454767704E0;9.910270207E0
1.007716665E0;5.746083856E-1;7.541735172E0;5.669469833E0;9.452556924E0
