"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
0.000000000E0;-1.695094824E0;3.299209833E0;9.112331390E0;9.838328890E0
1.226612600E-2;-1.738190413E0;3.303998232E0;8.748413086E0;9.511700255E0
2.786700100E-2;-1.608903527E0;3.270479441E0;8.221688271E0;8.993373358E0
4.068693800E-2;-1.484405041E0;3.313575268E0;7.857769966E0;8.656083885E0
5.208490700E-2;-1.422155857E0;3.323152065E0;7.565677166E0;8.384827840E0
6.275639100E-2;-1.374271750E0;3.260902643E0;7.465120792E0;8.261364133E0
7.305463300E-2;-1.187524080E0;3.193865061E0;7.651868820E0;8.376281031E0
8.325275400E-2;-1.063025594E0;3.136404276E0;7.819462776E0;8.491822731E0
9.336231500E-2;-1.048660398E0;3.011905670E0;7.987056732E0;8.600252301E0
1.033555950E-1;-1.154005170E0;2.935291290E0;8.365341187E0;8.940167563E0
1.133932350E-1;-1.125274777E0;2.825158119E0;8.954314232E0;9.456611713E0
1.234410550E-1;-1.139639974E0;2.734178305E0;9.457097054E0;9.910156152E0
1.334284650E-1;-1.187524080E0;2.753331900E0;1.000297451E1;1.044272709E1
1.434471700E-1;-1.326387763E0;2.758120298E0;1.026633644E1;1.071280523E1
1.534520230E-1;-1.388636947E0;2.777273893E0;1.032379818E1;1.078064802E1
1.634294490E-1;-1.417367458E0;2.825158119E0;1.036689377E1;1.083803189E1
1.734396620E-1;-1.393425345E0;2.829946518E0;1.026154804E1;1.073543663E1
1.834537690E-1;-1.426944256E0;2.925714493E0;9.911994934E0;1.043281452E1
1.936313220E-1;-1.489193439E0;3.045424461E0;9.466673851E0;1.005535783E1
2.038060990E-1;-1.532289028E0;3.189076662E0;9.145850182E0;9.806359935E0
2.137594870E-1;-1.561019540E0;3.241749048E0;8.810662270E0;9.517010483E0
2.236096810E-1;-1.561019540E0;3.390189648E0;8.461109161E0;9.247731402E0
2.335332780E-1;-1.556231141E0;3.562572241E0;8.173804283E0;9.051234877E0
2.438165770E-1;-1.561019540E0;3.648763418E0;7.814674377E0;8.764667256E0
2.538637260E-1;-1.608903527E0;3.782838583E0;7.766790390E0;8.787574823E0
2.638873010E-1;-1.690306425E0;3.869029999E0;7.900865555E0;8.958247901E0
2.738570880E-1;-1.618480325E0;3.854664803E0;8.063671112E0;9.082990207E0
2.837004820E-1;-1.570596337E0;3.849876404E0;8.145073891E0;9.144974022E0
2.938491790E-1;-1.570596337E0;3.869029999E0;8.576030731E0;9.538577938E0
3.037305270E-1;-1.398213744E0;3.720589399E0;8.944737434E0;9.788059814E0
3.136712010E-1;-1.077390790E0;3.466804028E0;9.021351814E0;9.724417188E0
3.238905380E-1;-3.974374831E-1;3.165134668E0;9.002198219E0;9.550686195E0
3.339402070E-1;-1.101332754E-1;2.920926094E0;9.102754593E0;9.560548089E0
3.439900410E-1;1.819593310E-1;2.705447912E0;9.208099365E0;9.599044303E0
3.538429580E-1;3.734954596E-1;2.533065319E0;8.992621422E0;9.350035230E0
3.639344170E-1;4.836287498E-1;2.437297344E0;8.734047890E0;9.080633659E0
3.737171460E-1;4.596867263E-1;2.398990154E0;8.619126320E0;8.958560385E0
3.838010110E-1;3.399766386E-1;2.422932148E0;8.485051155E0;8.830757465E0
3.936799430E-1;3.208230138E-1;2.432508945E0;8.360552788E0;8.713143525E0
4.036659090E-1;3.543418646E-1;2.351106167E0;8.298302650E0;8.632212071E0
4.135858920E-1;2.968810201E-1;2.269703150E0;8.408436775E0;8.714442021E0
4.238098840E-1;3.016694188E-1;2.245761156E0;8.781931877E0;9.069552089E0
4.337163800E-1;2.298433632E-1;2.288856745E0;9.160215378E0;9.444640752E0
4.436201280E-1;9.576806426E-2;2.351106167E0;9.327810287E0;9.620026845E0
4.535330020E-1;-5.267243832E-2;2.470816135E0;9.275136948E0;9.598743259E0
