"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
0.000000000E0;-1.383848548E0;3.485957623E0;8.892065048E0;9.650686927E0
8.550046000E-3;-1.374271750E0;3.471592426E0;8.973467827E0;9.719243883E0
2.430454600E-2;-1.187524080E0;3.481169224E0;8.939949036E0;9.667028570E0
3.721379600E-2;-9.337386489E-1;3.471592426E0;8.743624687E0;9.453824332E0
4.861042100E-2;-8.667010069E-1;3.567360640E0;8.489839554E0;9.249573407E0
5.926573300E-2;-7.517793179E-1;3.653551817E0;8.207323074E0;9.015196341E0
6.966838900E-2;-7.565677166E-1;3.677493811E0;8.073247910E0;8.903577216E0
7.989821700E-2;-7.517793179E-1;3.653551817E0;8.111555099E0;8.928098294E0
8.998613100E-2;-6.320692301E-1;3.615244627E0;8.489839554E0;9.249155684E0
1.001845880E-1;-5.267243981E-1;3.481169224E0;8.815450668E0;9.492531182E0
1.100953170E-1;-4.213795066E-1;3.351882458E0;8.925583839E0;9.543517359E0
1.200926810E-1;-4.213795066E-1;3.241749048E0;8.920795441E0;9.500899372E0
1.303728630E-1;-4.884171486E-1;3.203441858E0;8.954314232E0;9.522622245E0
1.404859540E-1;-6.129156351E-1;3.179499865E0;9.026140213E0;9.589373916E0
1.504790000E-1;-6.368576288E-1;3.193865061E0;9.050082207E0;9.618230067E0
1.603665230E-1;-5.937620401E-1;3.150769472E0;9.126696587E0;9.673494312E0
1.702262840E-1;-5.171475410E-1;3.064578056E0;9.150638580E0;9.664019178E0
1.802056650E-1;-4.213795066E-1;3.050212860E0;9.069235802E0;9.577703128E0
1.901833550E-1;-4.405331016E-1;3.117250681E0;8.911218643E0;9.450986135E0
2.001517000E-1;-5.363011956E-1;3.165134668E0;8.729259491E0;9.300842311E0
2.100998730E-1;-6.224924326E-1;3.232172251E0;8.638279915E0;9.244150268E0
2.202744590E-1;-6.272808313E-1;3.256114244E0;8.719682693E0;9.328913521E0
2.303317520E-1;-6.224924326E-1;3.275267839E0;8.801085472E0;9.411375125E0
2.401868990E-1;-6.560112834E-1;3.256114244E0;8.777143478E0;9.384608592E0
2.501644720E-1;-6.320692301E-1;3.318363667E0;8.686163902E0;9.319897654E0
2.601792590E-1;-6.847416759E-1;3.347094059E0;8.508993149E0;9.169235203E0
2.701371520E-1;-7.996633649E-1;3.428496838E0;8.418013573E0;9.124527636E0
2.801335990E-1;-8.523358107E-1;3.481169224E0;8.374917984E0;9.109570063E0
2.901358220E-1;-8.379706144E-1;3.452438831E0;8.556877136E0;9.265078249E0
3.002194340E-1;-8.331822157E-1;3.418920040E0;8.724471092E0;9.407422744E0
3.100897400E-1;-7.613561153E-1;3.375824451E0;8.877699852E0;9.528347628E0
3.201338930E-1;-7.565677166E-1;3.308786631E0;8.944737434E0;9.567068070E0
3.302624690E-1;-7.326257229E-1;3.308786631E0;8.959102631E0;9.578639223E0
3.401992570E-1;-7.565677166E-1;3.260902643E0;9.011775017E0;9.613426533E0
3.501811510E-1;-8.188169599E-1;3.241749048E0;9.083600998E0;9.679421739E0
3.602540980E-1;-7.948749661E-1;3.275267839E0;9.155426979E0;9.756077532E0
3.703535720E-1;-7.805097699E-1;3.280056238E0;9.102754593E0;9.707116235E0
3.802148090E-1;-7.709329724E-1;3.284844637E0;9.074024200E0;9.681035953E0
3.903364270E-1;-8.092401624E-1;3.299209833E0;8.954314232E0;9.577024513E0
4.002837360E-1;-8.188169599E-1;3.337517262E0;8.939949036E0;9.577691342E0
4.103733910E-1;-8.092401624E-1;3.323152065E0;8.887276649E0;9.522704213E0
4.202187180E-1;-8.331822157E-1;3.327940464E0;8.844181061E0;9.486248941E0
4.301168820E-1;-8.762778044E-1;3.347094059E0;8.858546257E0;9.510244120E0
4.402159640E-1;-8.858546019E-1;3.385401249E0;9.002198219E0;9.658429105E0
4.501410050E-1;-9.385270476E-1;3.438073635E0;9.040505409E0;9.717608831E0
4.601360250E-1;-9.097966552E-1;3.385401249E0;8.935160637E0;9.598216875E0
4.702610350E-1;-9.911994934E-1;3.442862034E0;8.657433510E0;9.369467989E0
4.802030400E-1;-1.039083481E0;3.438073635E0;8.686163902E0;9.399440842E0
4.901670430E-1;-1.039083481E0;3.380612850E0;8.791508675E0;9.476226174E0
5.001250440E-1;-1.024718285E0;3.313575268E0;8.939949036E0;9.589187524E0
5.101145450E-1;-9.959878922E-1;3.313575268E0;8.983044624E0;9.626362951E0
5.202142950E-1;-1.067813993E0;3.308786631E0;8.853757858E0;9.511956891E0
5.302756700E-1;-1.134851575E0;3.342305660E0;8.753201485E0;9.438084099E0
5.401028580E-1;-1.168370485E0;3.313575268E0;8.781931877E0;9.458710173E0
5.500104520E-1;-1.163581967E0;3.313575268E0;8.805873871E0;9.480354354E0
5.600002490E-1;-1.173158884E0;3.246537447E0;8.906430244E0;9.552005384E0
5.699736470E-1;-1.149216771E0;3.193865061E0;9.011775017E0;9.629826695E0
5.800528460E-1;-1.225831270E0;3.222595453E0;9.155426979E0;9.783129710E0
5.900614460E-1;-1.235408068E0;3.150769472E0;9.193734169E0;9.796853032E0
6.001257460E-1;-1.235408068E0;3.165134668E0;9.356540680E0;9.954354025E0
6.101148960E-1;-1.316810966E0;3.217807055E0;9.265560150E0;9.896407341E0
6.201069710E-1;-1.355118155E0;3.227383852E0;9.265560150E0;9.904693667E0
6.300830080E-1;-1.412579060E0;3.275267839E0;9.289502144E0;9.950759222E0
6.400225270E-1;-1.359906554E0;3.275267839E0;9.174580574E0;9.836140197E0
6.499927860E-1;-1.431732655E0;3.260902643E0;9.097966194E0;9.770175705E0
6.599914160E-1;-1.417367458E0;3.213018656E0;9.165003777E0;9.814770177E0
6.699567310E-1;-1.450886250E0;3.270479441E0;9.217676163E0;9.887702490E0
6.800878880E-1;-1.465251446E0;3.256114244E0;9.064447403E0;9.742353334E0
6.901069670E-1;-1.503558636E0;3.265691042E0;8.949525833E0;9.644658583E0
7.000950060E-1;-1.498770237E0;3.270479441E0;8.892065048E0;9.592245244E0
7.100575260E-1;-1.479616642E0;3.299209833E0;8.734047890E0;9.452917194E0
7.200247860E-1;-1.431732655E0;3.246537447E0;8.537723541E0;9.245679372E0
7.302014160E-1;-1.465251446E0;3.198653460E0;8.475474358E0;9.176710268E0
7.402037310E-1;-1.522712231E0;3.227383852E0;8.619126320E0;9.328665370E0
7.500938880E-1;-1.608903527E0;3.260902643E0;8.738836288E0;9.465163299E0
7.601704670E-1;-1.728613615E0;3.275267839E0;8.786720276E0;9.535299558E0
7.701887560E-1;-1.704671621E0;3.303998232E0;8.801085472E0;9.554130789E0
7.801329010E-1;-1.632845521E0;3.222595453E0;8.777143478E0;9.491551696E0
7.900439730E-1;-1.671152830E0;3.155557871E0;8.743624687E0;9.444642393E0
8.000360090E-1;-1.671152830E0;3.155557871E0;8.815450668E0;9.511175939E0
8.099820270E-1;-1.738190413E0;3.141192675E0;8.983044624E0;9.673855904E0
8.200550360E-1;-1.848323703E0;3.126827478E0;9.107542992E0;9.805135896E0
8.300100410E-1;-1.939303398E0;3.165134668E0;9.141061783E0;9.866001503E0
8.399820430E-1;-1.958456993E0;3.179499865E0;9.131484985E0;9.865535526E0
8.499630440E-1;-1.915361404E0;3.122039080E0;9.131484985E0;9.838686669E0
8.600515450E-1;-1.877054095E0;3.165134668E0;9.145850182E0;9.858396679E0
8.700237950E-1;-1.867477298E0;3.102885485E0;8.882488251E0;9.592391116E0
8.800434200E-1;-1.867477298E0;3.165134668E0;8.695740700E0;9.440416052E0
8.900012330E-1;-1.948880196E0;3.265691042E0;8.609549522E0;9.412078143E0
9.001481390E-1;-2.001552582E0;3.371036053E0;8.571242332E0;9.425300628E0
9.100480920E-1;-1.982398987E0;3.452438831E0;8.542511940E0;9.424635265E0
9.200285690E-1;-1.829170108E0;3.462015629E0;8.441955566E0;9.305806213E0
9.300903070E-1;-1.647210717E0;3.476380825E0;8.341399193E0;9.185720836E0
9.400876760E-1;-1.541865945E0;3.476380825E0;8.341399193E0;9.167415924E0
9.500808610E-1;-1.426944256E0;3.495534420E0;8.389283180E0;9.199728424E0
9.600784530E-1;-1.393425345E0;3.514688015E0;8.331821442E0;9.149530839E0
9.702422490E-1;-1.350329757E0;3.505111217E0;8.470685959E0;9.266159707E0
9.801411470E-1;-1.355118155E0;3.462015629E0;8.647856712E0;9.413146294E0
9.901845960E-1;-1.283292055E0;3.452438831E0;8.825027466E0;9.562807232E0
1.000141821E0;-1.307234168E0;3.399766445E0;8.954314232E0;9.666799699E0
1.010173433E0;-1.249773264E0;3.318363667E0;9.011775017E0;9.684294481E0
1.020125239E0;-1.192312479E0;3.236960649E0;9.160215378E0;9.788210718E0
1.030218642E0;-1.197100878E0;3.227383852E0;9.452308655E0;1.005958229E1
1.040094344E0;-1.182735682E0;3.208230257E0;9.533711433E0;1.012833939E1
1.050038695E0;-1.163581967E0;3.150769472E0;9.437943459E0;1.001778658E1
1.060049870E0;-1.177947283E0;3.155557871E0;9.222464561E0;9.818297096E0
1.070123458E0;-1.235408068E0;3.150769472E0;9.136273384E0;9.742949898E0
1.080211252E0;-1.264138460E0;3.184288263E0;9.078812599E0;9.703740310E0
1.090087649E0;-1.326387763E0;3.256114244E0;8.954314232E0;9.619840323E0
1.100067347E0;-1.398213744E0;3.308786631E0;8.796297073E0;9.501468983E0
1.110065696E0;-1.460463047E0;3.308786631E0;8.734047890E0;9.453285874E0
1.120078871E0;-1.441309452E0;3.337517262E0;8.657433510E0;9.389757685E0
1.130178458E0;-1.379060149E0;3.313575268E0;8.619126320E0;9.336537178E0
1.140171252E0;-1.393425345E0;3.327940464E0;8.547300339E0;9.277562450E0
1.150250649E0;-1.426944256E0;3.347094059E0;8.465897560E0;9.214696416E0
1.160318347E0;-1.407790542E0;3.323152065E0;8.485051155E0;9.220699917E0
1.170158696E0;-1.388636947E0;3.246537447E0;8.576030731E0;9.274514600E0
1.180127371E0;-1.364694953E0;3.217807055E0;8.652645111E0;9.331931310E0
1.190107208E0;-1.412579060E0;3.165134668E0;8.695740700E0;9.361055677E0
1.200071627E0;-1.532289028E0;3.198653460E0;8.939949036E0;9.617795089E0
1.210068336E0;-1.628057122E0;3.232172251E0;9.059659004E0;9.755763872E0
1.220045691E0;-1.685518026E0;3.236960649E0;9.006986618E0;9.718265956E0
